Username,First name ,Second name ,Phone ,Camp ID,Avability ,Status
Volunteer1,Mike,Smith ,441234567,A1,15h ,1
Volunteer2,Jane,Smith ,449876543,A1,40h,1
Volunteer3,Meghan,Brown ,441312456,A2,10h,1
Volunteer4,Sam ,Richards,446745891,A1,30h,1
Volunteer5,Amber,Robinson ,448967124,A2,17h,1
Volunteer6,Alex,Gold,445689541,A2,8h,1
Volunteer7,Henry,Vincent,445897352,A1,33h,1
Volunteer8,Jessica ,Vincent,442356789,A1,18h,1
Volunteer9,George ,Thompson ,445612345,A1,10h,1
Volunteer10,Emily,Jones,445612346,A1,10h,1
Volunteer11,Sophie,Taylor,445612347,A1,10h,1
Volunteer12,William,Owen,445612348,A1,10h,1
Volunteer13,Harry,Holmes,445612349,A2,10h,1
Volunteer14,Jane,Bishop,445612350,A1,10h,1
Volunteer15,Michael,Cooke,445612351,A2,10h,1
Volunteer16,William,Roberts,445612352,A1,12h,1
Volunteer17,Steven,White,445612353,A1,12h,1
Volunteer18,Catherine,Hall,445612354,A2,12h,1
Volunteer19,Charlotte,Dixon,445612355,A2,12h,1
Volunteer20,Mike,Wright,445612356,A1,12h,1
Volunteer21,Anthony,Cross,445612357,A2,12h,1
Volunteer22,Poppy,Ward,445612358,A1,40h,1
Volunteer23,Dominic,Clark,445612359,A1,40h,1
Volunteer24,Catherine,Harper,445612360,A2,40h,1
Volunteer25,Max,Day,445612361,A2,40h,1
Volunteer26,Emily,Brooks,445612362,A2,40h,1
Volunteer27,Susan,Turner,445612363,A2,40h,1
Volunteer28,Sarah,Martin,445612364,A3,40h,1
Volunteer29,Charlotte,Lee,445612365,A1,5h,1
Volunteer30,Tom,Phillips,445612366,A1,3h,1
Volunteer31,Harry,Ford,445612367,A1,12h,1
Volunteer32,Michael,Stewart,445612368,A1,18h,1
Volunteer33,Jessica ,Sharp,445612369,A1,18h,1
Volunteer34,Violet,Osborne,445612370,A1,18h,1
Volunteer35,Amber,Moore,445612371,A1,18h,1
Volunteer36,Oscar,Bennett,445612372,A1,18h,1
Volunteer37,Scarlett,Price,445612373,A1,18h,1
Volunteer38,Hannah,Ross,445612374,A1,18h,1
Volunteer39,Alex,Green,445612375,A1,7h,1
Volunteer40,Greg,Barker,445612376,A1,7h,1
Volunteer41,Marcus,Walton,445612377,A1,7h,1
Volunteer42,Simone,Payne,445612378,A1,7h,1
Volunteer43,Sophie,Fox,445612379,A1,7h,1
